date,mc_percentile,mc_z_score,mc_p10,mc_p50,mc_p90,efficiency_ratio,ghi_daily,yield_daily,healthy,cluster,manual_label
2024-01-11,0.0,-9.3373316658392,597.7880512293591,609.3151485233213,620.8856988026567,0.0616500261435354,8508.35,524.54,False,4,Soiling
2024-01-12,0.0,-9.7566942968411,588.4696372690017,598.8176259652981,610.2612503632292,0.0617942167351869,8372.79,517.39,False,4,Soiling
2024-01-13,0.0,-9.69742105260909,601.9693903432723,613.1029103745,624.2607476014075,0.0620127610407339,8563.56,531.05,False,4,Soiling
2024-01-19,0.0,-11.517456256869318,587.3101602055976,598.0819182003075,608.5738356397137,0.0603900687932527,8357.5,504.71,False,0,Soiling
2024-01-24,0.0,-9.79270702310126,554.9524685948102,566.3326440018797,577.167589311337,0.0611758789066641,7913.74,484.13,False,0,Soiling
2024-02-06,0.0,-41.88177062475429,505.49970264594697,514.8195365662928,525.5047978347096,0.0257722567482295,7190.29,185.31,False,3,Soiling
2024-02-08,0.0,-55.0402491598184,556.257982996578,566.5497633397988,576.7567175176808,0.0152078430461657,7916.31,120.39,False,3,Soiling
2024-03-09,7.000000000000001,-1.524239812682617,480.6295719843706,490.3428784987998,499.8322221437068,0.0698844307613669,6852.17,478.86,False,6,Cloudy
2024-03-10,28.000000000000004,-0.5814151240640856,478.4620799168532,487.5478762406991,497.2862877632349,0.0709333497569476,6815.13,483.42,True,6,Investigate
2024-04-08,1.4,-2.158255292570358,126.21508553792634,131.97997445174133,138.1621109260184,0.0662459539535518,1841.32,121.98,False,1,Investigate
2024-04-14,18.0,-0.93785479624731,346.8227768345924,354.4773075509876,362.8825530212547,0.0704575070822265,4949.65,348.74,False,7,Investigate
2024-05-06,0.3,-2.888866675845433,171.55385511747238,178.00611864683765,184.50761891944276,0.0657802518001739,2482.66,163.31,False,5,Investigate
2024-05-12,53.0,0.0937276893523095,253.5401070610409,261.1647972471136,268.4015385540638,0.0716419299620142,3652.47,261.67,True,2,Investigate
2024-06-02,49.9,-0.0598829336261907,192.8101696992045,198.64630713732453,205.86860508952603,0.0713685163370526,2783.16,198.63,True,2,Investigate
2024-07-08,71.6,0.5929740794796363,95.65272505661788,101.5013904014675,107.75125030035936,0.0736517523347621,1417.21,104.38,True,2,Healthy
2024-07-09,36.5,-0.3687598238523488,38.49202875243736,43.758315463468,49.54055814364771,0.0691041628081261,611.83,42.28,False,1,Investigate
2024-07-11,65.5,0.4029971335220076,105.21705026227144,111.66029242401216,117.21818003522174,0.0727165313413666,1557.28,113.24,True,2,Healthy
2024-07-12,78.4,0.773213992218188,132.8351029318008,139.04087864201415,144.89680592080737,0.0734628431994603,1939.62,142.49,True,2,Healthy
2024-08-10,28.6,-0.5672110585494538,28.134538623503747,33.90174731976687,39.8939588486075,0.0660809696393297,473.51,31.29,False,1,Investigate
2024-08-12,0.0,-39.74640061065528,238.6845349544676,245.79059684901443,252.5998421326553,0.0095093257790394,3432.42,32.64,False,3,Investigate
2024-08-13,0.0,-6.535824142673436,96.59482127287257,102.14752940805926,108.2168244858256,0.0509366286614429,1427.46,72.71,False,1,Investigate
2024-08-15,66.60000000000001,0.4013520778080851,304.92614758156463,312.27362007301224,319.7585815448099,0.0721332819698581,4362.48,314.68,True,7,Healthy
2024-08-18,81.10000000000001,0.8741923638142327,278.25218122988383,284.8105656511776,291.73118075050195,0.0727606643520829,3980.31,289.61,True,2,Healthy
2024-08-28,88.4,1.194715927826996,270.7127215736636,277.8118166302647,284.8875686587933,0.073350780596555,3878.35,284.48,True,2,Healthy
2024-09-01,77.60000000000001,0.73403854042149,352.542212543052,360.3288289076284,368.8533511327053,0.0725100123558685,5036.27,365.18,True,7,Healthy
2024-09-02,1.7999999999999998,-2.085710504095521,332.1019652272963,340.29368485168163,347.69702922613925,0.0688757580586434,4752.18,327.31,False,6,Investigate
2024-09-08,84.2,0.9779910717777358,310.91835644367944,318.6884052725145,326.2758705890406,0.0729176965295127,4450.36,324.51,True,2,Healthy
2024-09-13,16.2,-0.9749841925602872,331.63600868367786,339.59404111025856,346.856012087292,0.0704058613722841,4738.81,333.64,False,7,Investigate
2024-09-16,20.5,-0.8517438731707654,410.2800128198666,418.2677763311633,426.9554551030665,0.0705848960991107,5848.56,412.82,True,6,Investigate
2024-09-19,80.0,0.8434134286995204,403.7786481604675,412.533173734088,421.79315766084886,0.0726455609316862,5763.05,418.66,True,7,Healthy
2024-09-20,64.8,0.3322344965929442,422.98935837318055,431.52415115199454,440.4718299378612,0.0719047390096582,6034.79,433.93,True,7,Healthy
2024-09-21,24.0,-0.7199994604732873,425.9856432974853,435.129329809561,444.2279589872264,0.0707583889076904,6076.17,429.94,True,6,Investigate
2024-09-26,23.9,-0.7128337115974291,399.748506174952,409.14526434984657,416.9531543766342,0.0707098115845135,5712.22,403.91,True,7,Investigate
